gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn
Male,0,Yes,72,Yes,No,DSL,0,114,0
Male,1,No,71,No,Yes,Fiber optic,0,52,0
Male,0,Yes,71,Yes,No,DSL,1,20,0
Female,0,No,64,Yes,No,Fiber optic,1,95,0
Female,0,Yes,28,Yes,No,Fiber optic,0,20,0
Female,0,Yes,70,Yes,No,DSL,0,115,0
Male,1,No,39,Yes,No,DSL,0,96,1
Female,0,Yes,16,Yes,No,Fiber optic,2,20,0
Male,1,No,66,Yes,Yes,Fiber optic,0,111,1
Female,1,No,21,Yes,Yes,DSL,0,95,0
Female,0,No,44,Yes,No,Fiber optic,0,85,1
Female,1,No,54,Yes,No,DSL,1,99,0
Male,0,No,4,Yes,Yes,Fiber optic,0,57,0
Female,1,No,60,Yes,No,Fiber optic,0,110,0
Male,0,No,26,Yes,No,DSL,2,92,0
Female,0,Yes,24,Yes,Yes,Fiber optic,0,79,0
Male,0,Yes,53,Yes,Yes,DSL,2,19,0
Female,0,Yes,46,Yes,Yes,Fiber optic,0,19,0
Female,0,Yes,56,Yes,No,DSL,2,89,0
Female,0,No,7,Yes,Yes,Fiber optic,0,59,0
Female,0,No,1,Yes,Yes,DSL,1,86,1
Male,0,No,1,Yes,No,DSL,0,46,0
Male,0,No,60,Yes,No,Fiber optic,0,20,0
Male,0,No,61,Yes,Yes,Fiber optic,2,21,0
Female,0,No,42,No,No,Fiber optic,0,34,1
Male,0,No,27,Yes,No,Fiber optic,0,20,0
Female,0,Yes,9,Yes,Yes,Fiber optic,1,85,1
Female,0,No,72,Yes,No,DSL,2,20,0
Female,0,No,23,Yes,No,DSL,1,20,0
Female,1,No,47,Yes,No,Fiber optic,0,95,1
Female,1,No,54,Yes,Yes,Fiber optic,0,19,0
Male,1,No,2,Yes,Yes,DSL,1,96,0
Male,0,No,38,No,No,DSL,2,60,0
Female,1,No,47,Yes,No,DSL,0,100,0
Male,0,No,22,Yes,No,DSL,1,56,0
Male,0,No,2,Yes,No,DSL,2,91,0
Female,0,Yes,72,Yes,Yes,Fiber optic,0,79,0
Male,1,No,58,No,No,Fiber optic,0,45,1
Male,0,Yes,69,Yes,No,Fiber optic,0,79,0
Male,0,No,18,Yes,No,DSL,0,70,0
Female,0,Yes,55,Yes,Yes,Fiber optic,0,20,0
Female,0,No,46,Yes,No,DSL,2,101,0
Male,0,No,5,Yes,No,DSL,1,19,0
Female,0,No,4,No,Yes,Fiber optic,1,34,1
Male,1,No,5,Yes,Yes,Fiber optic,0,90,1
Female,0,Yes,65,Yes,Yes,Fiber optic,0,61,0
Male,0,No,35,Yes,Yes,DSL,1,21,0
Female,1,No,45,Yes,Yes,Fiber optic,2,97,0
Female,0,No,2,Yes,Yes,DSL,2,20,0
Female,0,Yes,22,Yes,No,Fiber optic,0,80,0
Male,0,Yes,70,Yes,Yes,Fiber optic,0,69,0
Female,0,Yes,30,Yes,No,DSL,0,66,0
Male,0,No,61,Yes,Yes,DSL,2,108,0
Female,0,No,29,Yes,Yes,DSL,0,20,0
Male,0,No,61,Yes,No,DSL,1,106,1
Male,0,Yes,25,Yes,No,DSL,1,90,1
Male,0,No,71,Yes,Yes,Fiber optic,0,113,0
Female,0,No,1,No,No,Fiber optic,0,35,0
Female,0,Yes,62,Yes,No,DSL,2,70,0
Male,0,No,64,Yes,No,DSL,0,74,0
Female,0,Yes,64,Yes,No,Fiber optic,1,91,0
Male,1,No,29,Yes,Yes,DSL,2,84,0
Female,0,No,2,Yes,No,DSL,1,71,1
Male,0,No,1,Yes,Yes,Fiber optic,0,51,1
Female,0,Yes,45,Yes,No,DSL,0,25,0
Male,0,No,66,Yes,No,Fiber optic,0,114,0
Female,0,No,54,Yes,Yes,DSL,0,107,1
Female,0,Yes,70,Yes,Yes,Fiber optic,2,80,0
Male,1,No,37,Yes,No,DSL,0,92,1
Male,1,No,3,Yes,Yes,Fiber optic,1,80,1
Male,0,Yes,23,Yes,No,DSL,0,55,0
Female,1,No,60,Yes,No,Fiber optic,2,100,0
Female,0,No,35,No,No,DSL,1,33,0
Female,0,Yes,27,Yes,No,DSL,2,74,0
Female,0,Yes,24,No,No,Fiber optic,0,52,0
Female,1,No,2,Yes,No,Fiber optic,0,94,1
Male,0,No,67,Yes,No,DSL,0,91,1
Male,0,No,2,Yes,No,DSL,0,48,1
Female,0,No,1,Yes,Yes,Fiber optic,1,20,1
Female,0,Yes,1,Yes,Yes,Fiber optic,2,79,1
Female,0,No,14,Yes,No,DSL,1,54,0
Male,1,No,38,Yes,Yes,Fiber optic,0,95,0
Female,0,No,1,Yes,No,DSL,2,70,1
Female,0,No,2,Yes,Yes,Fiber optic,1,70,0
Female,0,No,12,Yes,No,Fiber optic,0,79,1
Male,0,Yes,31,Yes,Yes,DSL,1,98,0
Male,0,Yes,35,Yes,No,DSL,0,72,0
Male,1,No,72,Yes,Yes,Fiber optic,0,110,0
Female,0,Yes,8,Yes,Yes,DSL,2,94,1
Male,0,No,10,Yes,Yes,Fiber optic,1,98,1
Female,1,No,5,Yes,No,Fiber optic,1,69,1
Male,0,Yes,63,Yes,No,DSL,0,84,0
Female,0,No,71,Yes,No,DSL,2,26,0
Female,1,No,46,Yes,Yes,Fiber optic,0,104,0
Female,0,Yes,52,Yes,Yes,Fiber optic,2,23,0
Male,0,No,1,Yes,No,DSL,0,46,1
Male,0,No,1,Yes,Yes,Fiber optic,0,80,1
Female,0,No,72,Yes,No,DSL,1,113,0
Female,0,No,3,Yes,Yes,Fiber optic,0,84,1
Male,0,No,28,Yes,No,DSL,0,61,0
Female,0,Yes,39,Yes,Yes,Fiber optic,0,51,0
Female,0,No,33,Yes,Yes,DSL,0,26,0
Female,0,No,12,No,No,DSL,0,61,0
Male,0,Yes,1,Yes,No,DSL,0,74,1
Male,0,No,6,Yes,Yes,Fiber optic,0,79,0
Male,0,No,3,Yes,Yes,DSL,2,86,0
Male,0,No,4,Yes,Yes,Fiber optic,0,88,1
Male,0,Yes,34,Yes,No,Fiber optic,0,90,0
Female,1,No,15,Yes,No,DSL,1,96,1
Male,0,Yes,1,No,No,DSL,1,25,1
Female,0,No,3,Yes,No,DSL,1,51,1
Female,0,No,3,Yes,No,DSL,1,20,0
Female,0,Yes,30,Yes,No,DSL,2,81,0
Female,0,No,5,Yes,No,DSL,2,54,1
Male,1,No,68,Yes,Yes,Fiber optic,1,20,0
Female,0,No,1,Yes,No,Fiber optic,0,20,0
Female,0,No,5,Yes,No,DSL,0,80,1
Female,0,No,1,Yes,No,DSL,0,71,1
Male,0,Yes,13,Yes,Yes,Fiber optic,0,20,0
Female,0,No,35,Yes,Yes,DSL,1,80,0
Male,0,Yes,4,Yes,Yes,Fiber optic,0,70,0
Male,0,No,9,No,Yes,Fiber optic,0,25,0
Female,1,No,45,Yes,No,Fiber optic,0,86,0
Female,0,No,21,No,No,Fiber optic,0,28,0
Female,0,No,26,Yes,Yes,Fiber optic,2,89,1
Female,0,No,1,Yes,Yes,DSL,2,85,1
Female,1,No,2,Yes,No,Fiber optic,0,89,1
Female,0,No,11,Yes,No,Fiber optic,0,70,0
Female,0,No,59,Yes,Yes,DSL,0,109,0
Female,0,No,31,Yes,No,Fiber optic,0,84,0
Female,0,Yes,54,Yes,Yes,Fiber optic,1,25,0
Female,0,Yes,16,Yes,Yes,DSL,1,19,0
Male,1,No,9,Yes,No,DSL,0,55,1
Female,0,No,21,Yes,Yes,DSL,0,97,1
Male,0,No,1,Yes,Yes,Fiber optic,1,21,0
Female,0,No,23,Yes,Yes,Fiber optic,0,54,0
Male,1,No,7,Yes,Yes,Fiber optic,0,74,1
Male,0,No,21,Yes,Yes,DSL,1,104,0
Female,0,No,65,Yes,No,DSL,0,108,0
Male,0,No,4,No,No,DSL,2,45,1
Male,0,Yes,72,Yes,No,DSL,0,112,0
Male,1,No,68,No,No,DSL,0,42,0
Female,0,Yes,67,Yes,No,DSL,2,85,0
Male,0,No,1,Yes,No,DSL,0,79,1
Female,0,No,69,Yes,No,DSL,1,96,0
Male,0,No,60,Yes,Yes,Fiber optic,2,90,0
Male,0,No,3,Yes,Yes,Fiber optic,0,88,1
Male,0,Yes,63,No,No,DSL,0,59,0
Male,0,Yes,71,Yes,Yes,Fiber optic,0,91,0
Female,0,No,35,Yes,Yes,Fiber optic,0,86,1
Female,0,No,34,Yes,Yes,Fiber optic,1,70,1
Male,0,Yes,53,Yes,Yes,DSL,0,70,0
Male,0,No,17,No,No,Fiber optic,0,34,0
Female,0,Yes,1,Yes,Yes,Fiber optic,0,60,1
Male,0,No,56,Yes,No,Fiber optic,0,81,0
Male,0,Yes,7,Yes,Yes,DSL,2,50,1
Male,0,No,67,Yes,No,Fiber optic,0,111,0
Male,0,No,11,Yes,No,Fiber optic,2,61,0
Male,0,Yes,1,Yes,Yes,DSL,1,20,0
Male,0,No,2,Yes,No,DSL,0,25,0
Female,0,No,69,Yes,No,DSL,0,105,0
Male,0,No,1,Yes,No,Fiber optic,0,80,1
Female,0,No,21,Yes,Yes,DSL,2,90,0
Male,1,No,72,Yes,Yes,Fiber optic,0,97,0
Female,1,No,2,Yes,No,Fiber optic,1,84,0
Male,0,No,57,Yes,No,DSL,2,21,0
Male,0,No,1,Yes,No,DSL,0,90,1
Male,0,No,4,Yes,Yes,Fiber optic,0,81,1
Female,0,No,2,Yes,No,DSL,0,19,0
Female,0,No,9,Yes,No,DSL,0,77,0
Female,0,No,71,Yes,Yes,Fiber optic,0,111,0
Female,0,Yes,13,Yes,Yes,Fiber optic,0,19,0
Male,0,Yes,50,Yes,Yes,Fiber optic,2,45,0
Male,1,No,10,Yes,No,DSL,2,90,1
Male,1,No,64,Yes,Yes,Fiber optic,2,94,0
Female,0,Yes,1,Yes,Yes,Fiber optic,1,70,1
Male,0,No,2,No,No,DSL,2,25,0
Female,0,No,30,Yes,No,DSL,0,110,0
Male,0,No,7,Yes,No,DSL,1,90,1
Male,0,No,26,Yes,No,DSL,0,19,0
Male,0,No,20,Yes,No,DSL,0,50,0
Female,0,No,72,Yes,No,DSL,0,26,0
Female,0,Yes,13,Yes,No,Fiber optic,0,56,1
Male,0,No,70,Yes,Yes,Fiber optic,0,85,0
Male,0,No,3,No,No,DSL,0,30,0
Male,0,No,2,Yes,No,DSL,0,76,1
Female,1,No,72,Yes,No,Fiber optic,0,116,0
Male,1,No,33,Yes,No,Fiber optic,0,84,1
Male,1,No,15,Yes,No,DSL,2,74,1
Male,0,No,1,No,No,DSL,0,29,0
Male,1,No,55,Yes,No,Fiber optic,0,99,1
Male,0,Yes,5,Yes,Yes,Fiber optic,1,64,0
Male,0,No,3,Yes,No,Fiber optic,0,80,1
Female,0,No,65,Yes,Yes,Fiber optic,2,90,0
Male,0,Yes,39,Yes,Yes,Fiber optic,0,60,0
Male,0,No,70,Yes,Yes,DSL,2,25,0
Male,0,No,34,Yes,No,DSL,2,116,0
Male,0,No,30,Yes,Yes,Fiber optic,0,50,0
Female,0,No,12,No,Yes,Fiber optic,2,50,0
Male,0,Yes,9,Yes,No,DSL,0,20,0
Female,0,No,49,No,No,Fiber optic,0,56,0
Female,0,No,7,Yes,Yes,DSL,1,44,0
Female,1,No,38,Yes,No,DSL,0,83,0
Male,0,No,63,Yes,No,DSL,1,109,0
Male,1,No,1,Yes,No,DSL,0,72,1
Male,0,No,30,Yes,No,DSL,2,90,0
Female,0,No,23,Yes,No,DSL,0,74,0
Female,0,No,57,Yes,Yes,Fiber optic,0,70,0
Female,1,No,70,Yes,Yes,Fiber optic,1,76,0
Male,0,Yes,71,Yes,Yes,Fiber optic,2,107,0
Male,0,Yes,20,Yes,Yes,DSL,1,50,0
Female,0,Yes,72,Yes,No,Fiber optic,0,25,0
Male,0,No,22,Yes,Yes,DSL,2,70,0
Male,0,No,15,Yes,Yes,Fiber optic,0,26,0
Female,0,No,9,No,Yes,Fiber optic,0,49,1
Female,0,No,38,Yes,No,Fiber optic,0,105,1
