gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,TotalCharges
Female,1,No,52,No,No,Fiber optic,Month-to-month,50,No,2600
Female,0,No,71,Yes,No,DSL,Two year,93,No,6603
Male,0,No,61,Yes,Yes,Fiber optic,Month-to-month,106,No,6466
Female,0,No,26,No,No,DSL,Two year,44,No,1144
Male,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,68,No,4896
Female,0,No,42,Yes,Yes,Fiber optic,One year,78,No,3276
Female,0,Yes,57,Yes,No,DSL,Month-to-month,65,No,3705
Male,0,Yes,9,Yes,Yes,Fiber optic,Month-to-month,20,No,180
Female,0,No,9,Yes,No,DSL,Month-to-month,71,Yes,639
Male,0,No,33,Yes,No,DSL,Month-to-month,45,No,1485
Male,0,No,1,Yes,No,Fiber optic,Two year,19,No,19
Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,79,Yes,553
Male,0,No,1,Yes,Yes,DSL,Two year,72,Yes,72
Male,0,Yes,65,Yes,No,DSL,Month-to-month,20,No,1300
Male,0,No,10,Yes,No,DSL,One year,86,Yes,860
Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,95,No,6650
Female,0,No,29,Yes,No,DSL,Month-to-month,99,Yes,2871
Male,0,Yes,21,Yes,No,DSL,Two year,104,Yes,2184
Male,0,No,1,Yes,No,DSL,Month-to-month,91,Yes,91
Male,0,No,5,Yes,No,DSL,Month-to-month,20,No,100
Male,0,No,56,Yes,Yes,DSL,Two year,90,No,5040
Male,0,Yes,35,Yes,No,Fiber optic,Month-to-month,85,Yes,2975
Male,0,Yes,10,Yes,No,DSL,Two year,20,No,200
Female,0,No,31,No,No,DSL,Two year,50,No,1550
Male,1,No,37,Yes,No,Fiber optic,Month-to-month,86,Yes,3182
Male,1,No,57,Yes,Yes,DSL,Two year,95,Yes,5415
Female,0,Yes,34,Yes,Yes,DSL,Month-to-month,26,No,884
Female,0,No,3,Yes,Yes,Fiber optic,Two year,99,Yes,297
Female,0,No,4,Yes,Yes,Fiber optic,One year,83,No,332
Female,0,No,54,Yes,Yes,DSL,Two year,20,No,1080
Male,0,Yes,6,Yes,Yes,Fiber optic,Two year,20,No,120
Male,0,No,22,Yes,No,DSL,One year,60,No,1320
Male,0,No,23,Yes,No,DSL,Month-to-month,97,No,2231
Female,0,No,68,Yes,No,DSL,One year,58,No,3944
Female,0,Yes,48,Yes,No,DSL,Month-to-month,20,No,960
Male,0,Yes,34,Yes,No,DSL,Month-to-month,21,No,714
Female,0,No,41,Yes,Yes,Fiber optic,Month-to-month,80,No,3280
Male,0,No,9,Yes,Yes,Fiber optic,One year,76,No,684
Female,1,No,18,Yes,No,DSL,Two year,104,No,1872
Male,0,No,35,Yes,No,DSL,Month-to-month,96,No,3360
Male,0,Yes,55,Yes,No,Fiber optic,Month-to-month,79,No,4345
Male,0,No,54,Yes,Yes,Fiber optic,Month-to-month,108,No,5832
Female,1,No,2,Yes,No,DSL,One year,79,Yes,158
Male,0,No,52,Yes,No,DSL,Two year,106,No,5512
Male,0,No,72,Yes,Yes,DSL,Two year,70,No,5040
Male,0,No,9,Yes,No,DSL,Month-to-month,70,No,630
Female,0,Yes,3,Yes,Yes,Fiber optic,Month-to-month,70,No,210
Male,1,No,4,Yes,No,Fiber optic,Month-to-month,75,No,300
Male,0,Yes,69,Yes,Yes,DSL,Two year,76,No,5244
Female,0,Yes,67,No,No,DSL,One year,36,No,2412
Male,0,No,4,Yes,No,DSL,Two year,80,Yes,320
Male,0,No,13,No,No,Fiber optic,Month-to-month,46,Yes,598
Female,0,Yes,45,Yes,Yes,DSL,Two year,81,No,3645
Male,0,No,68,Yes,No,DSL,Month-to-month,101,No,6868
Female,0,Yes,69,Yes,No,DSL,Month-to-month,74,No,5106
Female,0,No,70,No,No,Fiber optic,One year,58,No,4060
Female,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes,20
Female,0,Yes,45,Yes,No,DSL,Two year,26,No,1170
Female,0,Yes,37,Yes,No,Fiber optic,One year,20,No,740
Female,0,Yes,10,No,No,DSL,One year,40,No,400
Female,0,Yes,1,Yes,Yes,DSL,Month-to-month,89,No,89
Male,0,Yes,29,Yes,Yes,Fiber optic,Month-to-month,69,No,2001
Male,1,Yes,72,Yes,No,Fiber optic,Month-to-month,104,No,7488
Female,0,No,2,Yes,Yes,Fiber optic,Month-to-month,76,Yes,152
Male,0,No,24,Yes,No,DSL,One year,54,No,1296
Female,0,No,4,Yes,No,DSL,Month-to-month,79,Yes,316
Male,0,No,72,Yes,No,DSL,Month-to-month,19,No,1368
Female,0,No,11,Yes,Yes,Fiber optic,Month-to-month,79,No,869
Female,0,Yes,44,Yes,No,DSL,One year,20,No,880
Male,0,Yes,62,Yes,No,Fiber optic,Month-to-month,20,No,1240
Male,0,Yes,70,Yes,No,DSL,Month-to-month,25,No,1750
Female,1,No,1,No,No,DSL,Month-to-month,25,Yes,25
Female,0,No,4,Yes,No,DSL,Month-to-month,106,Yes,424
Female,1,No,2,Yes,No,DSL,One year,86,Yes,172
Female,0,No,41,Yes,Yes,DSL,Month-to-month,56,No,2296
Female,1,No,1,Yes,Yes,DSL,One year,19,Yes,19
Male,1,No,72,Yes,No,Fiber optic,Month-to-month,84,No,6048
Female,0,No,63,Yes,No,DSL,Two year,109,No,6867
Male,0,No,68,Yes,Yes,Fiber optic,Two year,80,No,5440
Female,1,No,59,Yes,No,DSL,Two year,100,No,5900
Male,1,No,52,No,No,Fiber optic,Month-to-month,49,No,2548
Male,1,Yes,26,Yes,Yes,DSL,Two year,106,Yes,2756
Male,0,No,66,No,Yes,Fiber optic,Month-to-month,57,No,3762
Female,1,No,56,Yes,Yes,Fiber optic,Two year,96,No,5376
Female,0,No,72,Yes,No,DSL,Month-to-month,79,No,5688
Male,1,No,2,Yes,No,Fiber optic,One year,70,No,140
Male,0,No,68,Yes,No,Fiber optic,Month-to-month,117,No,7956
Male,0,Yes,61,Yes,Yes,Fiber optic,Two year,85,No,5185
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No,20
Male,0,No,2,Yes,No,Fiber optic,Month-to-month,20,No,40
Female,0,No,2,Yes,No,Fiber optic,One year,20,Yes,40
Male,1,Yes,68,Yes,No,DSL,Two year,85,No,5780
Male,0,No,9,Yes,No,Fiber optic,Month-to-month,68,No,612
Male,0,No,13,Yes,No,Fiber optic,Month-to-month,83,Yes,1079
Female,0,No,22,Yes,No,Fiber optic,One year,20,No,440
Male,0,Yes,66,Yes,No,DSL,Month-to-month,25,No,1650
Male,0,Yes,8,Yes,No,DSL,Month-to-month,20,No,160
Male,0,Yes,2,Yes,No,DSL,Two year,70,No,140
Male,0,No,3,Yes,No,DSL,One year,56,No,168
Male,0,No,5,Yes,Yes,Fiber optic,Month-to-month,92,Yes,460
Male,0,No,13,Yes,No,DSL,Month-to-month,20,No,260
Male,0,Yes,53,Yes,No,DSL,Two year,65,No,3445
Male,0,No,3,Yes,No,DSL,Two year,20,No,60
Male,0,No,46,Yes,Yes,DSL,Two year,95,No,4370
Female,0,No,39,No,No,Fiber optic,Month-to-month,40,No,1560
Female,0,Yes,30,Yes,No,Fiber optic,Month-to-month,108,No,3240
Female,0,No,23,Yes,Yes,DSL,Two year,99,No,2277
Male,0,Yes,40,Yes,No,DSL,One year,20,No,800
Female,0,No,45,Yes,No,DSL,Month-to-month,63,No,2835
Male,0,No,53,Yes,No,DSL,One year,20,No,1060
Female,1,No,72,Yes,No,DSL,One year,112,No,8064
Male,0,Yes,28,Yes,No,DSL,One year,20,No,560
Female,0,No,49,Yes,No,DSL,Month-to-month,67,No,3283
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,75,Yes,75
Female,0,No,20,Yes,Yes,DSL,Two year,81,No,1620
Female,0,Yes,53,Yes,Yes,Fiber optic,Two year,61,No,3233
Male,0,No,67,Yes,No,Fiber optic,Month-to-month,69,No,4623
Male,0,No,11,Yes,No,Fiber optic,Month-to-month,74,Yes,814
Female,0,Yes,52,Yes,No,DSL,Two year,86,No,4472
Female,0,No,1,Yes,Yes,DSL,Month-to-month,91,Yes,91
Female,0,No,48,Yes,Yes,DSL,Month-to-month,56,No,2688
Female,0,No,7,Yes,No,DSL,Two year,75,Yes,525
Male,0,Yes,7,Yes,Yes,Fiber optic,Month-to-month,71,No,497
Female,0,Yes,12,Yes,No,Fiber optic,Month-to-month,84,No,1008
Male,0,No,40,Yes,No,DSL,Two year,25,No,1000
Male,0,No,55,Yes,Yes,DSL,Two year,78,No,4290
Female,0,No,20,Yes,Yes,Fiber optic,Two year,20,No,400
Male,0,No,1,No,No,DSL,One year,36,Yes,36
Female,0,Yes,72,Yes,No,Fiber optic,Month-to-month,84,No,6048
Male,0,No,63,Yes,No,DSL,Month-to-month,110,No,6930
Female,0,No,70,No,No,Fiber optic,Month-to-month,65,No,4550
Female,0,No,8,Yes,Yes,DSL,One year,64,No,512
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,46,Yes,46
Male,0,No,16,Yes,No,DSL,Month-to-month,20,No,320
Female,0,Yes,11,No,Yes,Fiber optic,One year,25,No,275
Male,0,No,11,Yes,No,Fiber optic,One year,75,Yes,825
Female,0,Yes,41,Yes,No,Fiber optic,Month-to-month,88,No,3608
Male,0,Yes,14,Yes,No,DSL,Month-to-month,76,No,1064
Female,0,No,61,Yes,Yes,DSL,One year,89,No,5429
Female,0,No,20,Yes,No,DSL,Month-to-month,89,No,1780
Female,0,No,47,Yes,No,DSL,Two year,106,Yes,4982
Male,0,Yes,2,Yes,Yes,Fiber optic,Two year,60,No,120
Male,0,Yes,41,Yes,Yes,Fiber optic,One year,60,No,2460
Female,0,No,72,Yes,No,DSL,Month-to-month,25,No,1800
Female,0,Yes,72,Yes,No,DSL,Month-to-month,80,No,5760
Female,0,No,46,Yes,No,DSL,Month-to-month,96,No,4416
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes,20
Male,0,Yes,29,No,Yes,Fiber optic,Month-to-month,45,No,1305
Female,0,No,37,Yes,No,DSL,Two year,100,No,3700
Male,0,No,19,Yes,Yes,Fiber optic,One year,62,No,1178
Female,0,Yes,49,Yes,Yes,DSL,Two year,78,No,3822
Male,0,Yes,13,Yes,Yes,DSL,Two year,44,No,572
Female,0,No,22,Yes,No,Fiber optic,Month-to-month,50,No,1100
Female,1,No,53,Yes,No,DSL,Two year,97,No,5141
Male,0,No,24,Yes,Yes,DSL,Two year,50,Yes,1200
Female,0,No,37,Yes,No,Fiber optic,Month-to-month,20,No,740
Male,0,Yes,6,Yes,No,DSL,Two year,55,Yes,330
Female,0,No,7,Yes,No,DSL,Month-to-month,80,Yes,560
Female,0,Yes,12,Yes,Yes,Fiber optic,Month-to-month,20,Yes,240
Female,0,No,71,Yes,No,Fiber optic,Month-to-month,25,No,1775
Male,0,Yes,26,Yes,Yes,Fiber optic,Month-to-month,82,No,2132
Female,0,No,6,Yes,Yes,Fiber optic,Month-to-month,46,No,276
Male,0,No,32,Yes,No,DSL,Month-to-month,88,No,2816
Female,0,No,47,Yes,No,DSL,Month-to-month,59,No,2773
Female,0,Yes,31,Yes,No,DSL,Month-to-month,21,No,651
Female,0,Yes,52,Yes,No,DSL,Month-to-month,84,No,4368
Female,0,No,60,No,No,DSL,Month-to-month,61,No,3660
Female,0,No,48,Yes,Yes,DSL,Month-to-month,66,No,3168
Male,0,No,45,Yes,Yes,DSL,Month-to-month,19,No,855
Female,0,No,39,Yes,No,Fiber optic,Month-to-month,80,Yes,3120
Female,1,No,1,Yes,Yes,Fiber optic,One year,86,Yes,86
Male,0,No,1,Yes,No,DSL,Month-to-month,70,Yes,70
Female,0,No,6,Yes,No,Fiber optic,Month-to-month,79,Yes,474
Male,0,No,9,Yes,No,Fiber optic,Month-to-month,76,No,684
Male,0,Yes,72,Yes,No,DSL,Month-to-month,114,No,8208
Male,1,No,71,No,Yes,Fiber optic,Month-to-month,52,No,3692
Male,0,Yes,71,Yes,No,DSL,One year,20,No,1420
Female,0,No,64,Yes,No,Fiber optic,One year,95,No,6080
Female,0,Yes,28,Yes,No,Fiber optic,Month-to-month,20,No,560
Female,0,Yes,70,Yes,No,DSL,Month-to-month,115,No,8050
Male,1,No,39,Yes,No,DSL,Month-to-month,96,Yes,3744
Female,0,Yes,16,Yes,No,Fiber optic,Two year,20,No,320
Male,1,No,66,Yes,Yes,Fiber optic,Month-to-month,111,Yes,7326
Female,1,No,21,Yes,Yes,DSL,Month-to-month,95,No,1995
Female,0,No,44,Yes,No,Fiber optic,Month-to-month,85,Yes,3740
Female,1,No,54,Yes,No,DSL,One year,99,No,5346
Male,0,No,4,Yes,Yes,Fiber optic,Month-to-month,57,No,228
Female,1,No,60,Yes,No,Fiber optic,Month-to-month,110,No,6600
Male,0,No,26,Yes,No,DSL,Two year,92,No,2392
Female,0,Yes,24,Yes,Yes,Fiber optic,Month-to-month,79,No,1896
Male,0,Yes,53,Yes,Yes,DSL,Two year,19,No,1007
Female,0,Yes,46,Yes,Yes,Fiber optic,Month-to-month,19,No,874
Female,0,Yes,56,Yes,No,DSL,Two year,89,No,4984
Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,59,No,413
Female,0,No,1,Yes,Yes,DSL,One year,86,Yes,86
Male,0,No,1,Yes,No,DSL,Month-to-month,46,No,46
Male,0,No,60,Yes,No,Fiber optic,Month-to-month,20,No,1200
Male,0,No,61,Yes,Yes,Fiber optic,Two year,21,No,1281
Female,0,No,42,No,No,Fiber optic,Month-to-month,34,Yes,1428
Male,0,No,27,Yes,No,Fiber optic,Month-to-month,20,No,540
Female,0,Yes,9,Yes,Yes,Fiber optic,One year,85,Yes,765
Female,0,No,72,Yes,No,DSL,Two year,20,No,1440
Female,0,No,23,Yes,No,DSL,One year,20,No,460
Female,1,No,47,Yes,No,Fiber optic,Month-to-month,95,Yes,4465
Female,1,No,54,Yes,Yes,Fiber optic,Month-to-month,19,No,1026
Male,1,No,2,Yes,Yes,DSL,One year,96,No,192
Male,0,No,38,No,No,DSL,Two year,60,No,2280
Female,1,No,47,Yes,No,DSL,Month-to-month,100,No,4700
Male,0,No,22,Yes,No,DSL,One year,56,No,1232
Male,0,No,2,Yes,No,DSL,Two year,91,No,182
Female,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,79,No,5688
Male,1,No,58,No,No,Fiber optic,Month-to-month,45,Yes,2610
Male,0,Yes,69,Yes,No,Fiber optic,Month-to-month,79,No,5451
Male,0,No,18,Yes,No,DSL,Month-to-month,70,No,1260
Female,0,Yes,55,Yes,Yes,Fiber optic,Month-to-month,20,No,1100
Female,0,No,46,Yes,No,DSL,Two year,101,No,4646
Male,0,No,5,Yes,No,DSL,One year,19,No,95
Female,0,No,4,No,Yes,Fiber optic,One year,34,Yes,136
Male,1,No,5,Yes,Yes,Fiber optic,Month-to-month,90,Yes,450
Female,0,Yes,65,Yes,Yes,Fiber optic,Month-to-month,61,No,3965
Male,0,No,35,Yes,Yes,DSL,One year,21,No,735
Female,1,No,45,Yes,Yes,Fiber optic,Two year,97,No,4365
Female,0,No,2,Yes,Yes,DSL,Two year,20,No,40
Female,0,Yes,22,Yes,No,Fiber optic,Month-to-month,80,No,1760
Male,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,69,No,4830
Female,0,Yes,30,Yes,No,DSL,Month-to-month,66,No,1980
Male,0,No,61,Yes,Yes,DSL,Two year,108,No,6588
Female,0,No,29,Yes,Yes,DSL,Month-to-month,20,No,580
Male,0,No,61,Yes,No,DSL,One year,106,Yes,6466
Male,0,Yes,25,Yes,No,DSL,One year,90,Yes,2250
Male,0,No,71,Yes,Yes,Fiber optic,Month-to-month,113,No,8023
Female,0,No,1,No,No,Fiber optic,Month-to-month,35,No,35
Female,0,Yes,62,Yes,No,DSL,Two year,70,No,4340
Male,0,No,64,Yes,No,DSL,Month-to-month,74,No,4736
Female,0,Yes,64,Yes,No,Fiber optic,One year,91,No,5824
Male,1,No,29,Yes,Yes,DSL,Two year,84,No,2436
Female,0,No,2,Yes,No,DSL,One year,71,Yes,142
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,51,Yes,51
Female,0,Yes,45,Yes,No,DSL,Month-to-month,25,No,1125
Male,0,No,66,Yes,No,Fiber optic,Month-to-month,114,No,7524
Female,0,No,54,Yes,Yes,DSL,Month-to-month,107,Yes,5778
Female,0,Yes,70,Yes,Yes,Fiber optic,Two year,80,No,5600
Male,1,No,37,Yes,No,DSL,Month-to-month,92,Yes,3404
Male,1,No,3,Yes,Yes,Fiber optic,One year,80,Yes,240
Male,0,Yes,23,Yes,No,DSL,Month-to-month,55,No,1265
Female,1,No,60,Yes,No,Fiber optic,Two year,100,No,6000
Female,0,No,35,No,No,DSL,One year,33,No,1155
Female,0,Yes,27,Yes,No,DSL,Two year,74,No,1998
Female,0,Yes,24,No,No,Fiber optic,Month-to-month,52,No,1248
Female,1,No,2,Yes,No,Fiber optic,Month-to-month,94,Yes,188
Male,0,No,67,Yes,No,DSL,Month-to-month,91,Yes,6097
Male,0,No,2,Yes,No,DSL,Month-to-month,48,Yes,96
Female,0,No,1,Yes,Yes,Fiber optic,One year,20,Yes,20
Female,0,Yes,1,Yes,Yes,Fiber optic,Two year,79,Yes,79
Female,0,No,14,Yes,No,DSL,One year,54,No,756
Male,1,No,38,Yes,Yes,Fiber optic,Month-to-month,95,No,3610
Female,0,No,1,Yes,No,DSL,Two year,70,Yes,70
Female,0,No,2,Yes,Yes,Fiber optic,One year,70,No,140
Female,0,No,12,Yes,No,Fiber optic,Month-to-month,79,Yes,948
Male,0,Yes,31,Yes,Yes,DSL,One year,98,No,3038
Male,0,Yes,35,Yes,No,DSL,Month-to-month,72,No,2520
Male,1,No,72,Yes,Yes,Fiber optic,Month-to-month,110,No,7920
Female,0,Yes,8,Yes,Yes,DSL,Two year,94,Yes,752
Male,0,No,10,Yes,Yes,Fiber optic,One year,98,Yes,980
Female,1,No,5,Yes,No,Fiber optic,One year,69,Yes,345
Male,0,Yes,63,Yes,No,DSL,Month-to-month,84,No,5292
Female,0,No,71,Yes,No,DSL,Two year,26,No,1846
Female,1,No,46,Yes,Yes,Fiber optic,Month-to-month,104,No,4784
Female,0,Yes,52,Yes,Yes,Fiber optic,Two year,23,No,1196
Male,0,No,1,Yes,No,DSL,Month-to-month,46,Yes,46
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,80,Yes,80
Female,0,No,72,Yes,No,DSL,One year,113,No,8136
Female,0,No,3,Yes,Yes,Fiber optic,Month-to-month,84,Yes,252
Male,0,No,28,Yes,No,DSL,Month-to-month,61,No,1708
Female,0,Yes,39,Yes,Yes,Fiber optic,Month-to-month,51,No,1989
Female,0,No,33,Yes,Yes,DSL,Month-to-month,26,No,858
Female,0,No,12,No,No,DSL,Month-to-month,61,No,732
Male,0,Yes,1,Yes,No,DSL,Month-to-month,74,Yes,74
Male,0,No,6,Yes,Yes,Fiber optic,Month-to-month,79,No,474
Male,0,No,3,Yes,Yes,DSL,Two year,86,No,258
Male,0,No,4,Yes,Yes,Fiber optic,Month-to-month,88,Yes,352
Male,0,Yes,34,Yes,No,Fiber optic,Month-to-month,90,No,3060
Female,1,No,15,Yes,No,DSL,One year,96,Yes,1440
Male,0,Yes,1,No,No,DSL,One year,25,Yes,25
Female,0,No,3,Yes,No,DSL,One year,51,Yes,153
Female,0,No,3,Yes,No,DSL,One year,20,No,60
Female,0,Yes,30,Yes,No,DSL,Two year,81,No,2430
Female,0,No,5,Yes,No,DSL,Two year,54,Yes,270
Male,1,No,68,Yes,Yes,Fiber optic,One year,20,No,1360
Female,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No,20
Female,0,No,5,Yes,No,DSL,Month-to-month,80,Yes,400
Female,0,No,1,Yes,No,DSL,Month-to-month,71,Yes,71
Male,0,Yes,13,Yes,Yes,Fiber optic,Month-to-month,20,No,260
